,1.Name,2.Author
347,各位大神知道这个怎么解决吗能加入游戏但是每次到要上飞机的时候,PxE
348,这皮肤哪里有卖啊 重回pubg,markzee3
349,有没有车队缺人啊，家庭麦，就是菜了点，tpp玩的多，fpp也,come_on_sky
350,有没有缺人打Tpp的 能自理 在努力kd上2,紫金色的...
351,找开黑的朋友 心态好的👌🏻 各种游戏都可以 只要开心！！,时尚潮品
352,求助啊！！！！！这是什么问题！！！,豌豆吃胡豆
353,为啥我登PUBG的时候闪一下屏幕然后我后台一些应用掉了，然后,望南
354,话说。。这种人都是什么心态,KAKW
355,朋友们 我问一下这个配置 玩PUBG中特效fps可以稳定在几,GTASA
356,孤儿太TM多了！,野冰鸟
357,3=1 小姐姐速来,村子最...
358,固，常在Yy,荒城y
359,代领飞行员套装,希望vancl
360,打游戏的+,这是故事
361,id查询,MiniSy
362,为什么重装系统之后吃鸡一直在比跳伞的时候闪退。什么都不显示。,玉米已送
363,为啥这配置玩吃鸡老是闪退，配置太低？,麻球是信仰
364,大佬们这个军用防毒面具的怎么获得的 各种商城都看了都没有,奶香i
365,急~有没有大佬 今天第一次出现每一局游戏玩到后面必定闪退,裁决之翼
366,一直卡在这里进不去 求大佬指点 没被封,成绩此函
367,Twitch Prime礼包怎么怎么又是这两个箱子，我还以为,阿寛
368,谁能告诉我这是怎么回事？,Tbrooks
369,网不卡，一直丢包怎么回事啊，把把都这样，吴亦凡们快来帮帮帮帮,EricQianshine
370,求小丑女+兔子套装或康萨斯套装效果图,Aming
371,pubg，3=1来个妹子或者猛男，跟虎牙大主播一起,最菜的鱼
372,哪位大哥知道有没有什么平台能买那种成品号的，有衣服皮肤的那种,Mrz
373,有一起玩的吗，自己玩好没意思哦，路人都不说话v:IMBA66,io5do9
374,有没有一起玩吃鸡的 找不到队友他们说不能进游戏了 但是我的能,记得吗
375,能来个靠谱队友吗 快被路人搞炸了 ****,双手川字纹
376,几个是这样？,建设银行
377,各位。我是真的真的想建一个pubg（端游）未成年战队，平时一,14想打职...
378,我不信就我一个,阿俊和橙橙
379,为什么steam的pubg无法下载呀，安装是灰色的,爱魔法...
380,怎么搞老哥们,Holems
381,试了好多次都是未获授权，为什么？,小柳LUCAS
382,服务器炸了签个到,arcosR
383,这个怎么解决啊大神们求帮忙,想念我吗z
384,PUBG听不到游戏语音，其他都正常，求助,凛冬丶
385,在线等  小姐姐,淳屹啊
386,为何玩不了？,电瓶车
387,请教PUBG在STEAM打不开是什么原因？,蓝白文学
388,双排,建设银行
389,求治疗闪退，有偿求教,king南顺
390,骗子举报集中营,歪吧第一...
391,怎么换服玩的？我不想在国服玩了哪个大佬教教我！？,卷土蟲来
392,这也能打到,总会清醒
393,吃鸡 说不了话 也听不到队友说话 怎么解决,吊儿啷当
394,1=3,於長夜
395,繁体的也是秀。,想丶叶落...
396,训练营的滑翔翼在哪,贴吧用户_...
397,训练营的滑翔翼在哪,贴吧用户_...
398,想重下回来玩，下完安装永远在最后一部分然后就不动了,老婆無名
399,谁知道除了steam  还有什么地方可以购买皮肤道具嘛？,李汶洪Zed
400,吃鸡一等三 yy21128156,儒雅Refined
401,玩卡拉金阴人的低能,蔷薇T_T
402,账号到解封日期未解封,zhou5494151
403,不是 我也没开挂啊咋会被封？？？？求助啊,HxZzJ
404,为什么玩绝地求生那么卡！求大佬帮忙看一下配置,昭歌
405,这个情况到底怎么搞？人都快搞疯了,贴吧用户_...
406,有妹子一起玩么  2＝2,Spking
407,这次更新后没声音了，有没有跟我一样情况的，除了pubg其他都,我挺有趣
408,求问可以五个人开黑2+3两个队伍一起对着四排吗？能进到一场游,跳跳跳虎
409,这个是什么啥,kiers
410,陪玩店收一点专业pubg陪玩！！带图私我联系方式我加你,小鱼藻
411,2=2,接盘侠
412,kakao服覆盖完了更新一直出错。有人有解决办法么。,噜噜噜噜...
413,有吃鸡群吗？  经常一个人玩 太无聊了,韩土根
414,萨诺1=3,届不到
415,玩吃鸡的时候背对着就没有声音只有正面有声音是怎么回事跳窗也没,Keep
416,雪地图呢？,abraham6179
417,有一起组队的吗,a1602655381
418,上面写了48小时以内，玩了一会感觉皮肤太显眼想退款，不知道能,小啊飞酱
419,绝地求生，刚下的，怎么就打不开了？以前下载过，后来又卸载了，,贴吧用户_...
420,固玩 三等一 缺个妹妹 每天稳定在线上分  本队自带一名地图,爱情的丿...
421,PUBGShieldReporter×某个必需的文件出现问题,长脖子的...
422,请问各位大佬，我这是有希望申诉成功吗吗，我该咋办？,煞嘟嘟嘟
423,大佬进来帮帮小弟 我的游戏看不了死亡回放 也看不了录像 录像,口袋和尚丶
424,不懂就问 非正常路径登陆怎么解决 拜托各位大佬了,him
425,图片加载不出来，有没有大佬知道怎样解决,莫灬z
