,Change,Circulating Supply,Market Cap,Price,Volume(24h),name
36,-3.57%,"2,974,228,412 BXC *","$1,103,342",$0.000371,"$1,473",BonusCloud
37,0.25%,"32,514,916,898 PND","$1,101,220",$0.000034,$?,Pandacoin
38,4.79%,"71,216,492,717 AZ *","$1,089,471",$0.000015,"$22,354",Azbit
39,5.15%,"442,894,598 SPIKE *","$1,086,979",$0.002454,"$1,336,664",Spiking
40,-3.79%,"1,322,984 TKS *","$1,086,593",$0.821320,$203,Tokes
41,0.00%,"51,709,130 C8 *","$1,084,558",$0.020974,$?,Carboneum [C8] Token
42,7.20%,"11,660,826,908 RPD *","$1,079,375",$0.000093,$728,Rapids
43,1.18%,"56,528,700 DEEX *","$1,078,722",$0.019083,"$3,650",DEEX
44,-3.62%,"228,811,027 IPL *","$1,072,027",$0.004685,"$25,007",VouchForMe
45,-6.58%,"18,000,000 COV *","$1,067,028",$0.059279,"$3,350",Covesting
46,36.59%,"415,417,663 PINK","$1,062,024",$0.002557,"$10,639",Pinkcoin
47,-14.71%,"282,094,001 AXPR *","$1,058,014",$0.003751,"$7,541",aXpire
48,-6.24%,"12,484,344 SPHR *","$1,057,075",$0.084672,"$2,363",Sphere
49,3.05%,"824,627,153 FXT *","$1,051,768",$0.001275,"$3,688",FuzeX
50,-23.24%,"106,926,307 GCR *","$1,049,701",$0.009817,"$23,385",Global Currency Reserve
51,-1.80%,"16,688,845 TPAY *","$1,048,154",$0.062806,"$105,366",TokenPay
52,-1.96%,"539,151,696 CAPP *","$1,040,945",$0.001931,"$98,557",Cappasity
53,-5.36%,"500,000,000 EKO *","$1,032,528",$0.002065,"$55,282",EchoLink
54,-11.78%,"978,845,690 HBZ *","$1,027,821",$0.001050,"$37,465",HBZ coin
55,-3.92%,"5,736,550 0xBTC","$1,023,217",$0.178368,"$1,367,883",0xBitcoin
56,5.86%,"7,775,590 LUX","$1,022,467",$0.131497,"$15,968",LUXCoin
57,-5.79%,"509,644,876 CPX *","$1,012,984",$0.001988,"$61,984",Apex
58,0.00%,"839,289,411 LOCUS *","$985,522",$0.001174,$?,Locus Chain
59,-15.61%,"8,856,541,707 IGG *","$968,885",$0.000109,"$3,756",IG Gold
60,10.49%,"55,955,000 FLP *","$949,035",$0.016961,$324,FLIP
61,13.46%,"37,410,463 CYBR *","$938,733",$0.025093,$319,CYBR Token
62,-5.79%,"2,850,000,000 FTI *","$936,841",$0.000329,"$424,329",FansTime
63,-0.93%,"24,423,628 CURE","$932,946",$0.038198,"$2,047",Curecoin
64,-10.94%,"522,087,913 FDZ *","$931,688",$0.001785,"$86,050",Friendz
65,-0.11%,"149,978,811 MCASH","$924,259",$0.006163,"$9,940",Mcashchain
66,14.34%,"513,653,460 CEEK *","$922,022",$0.001795,"$1,004",CEEK VR
67,10.28%,"2,335,757 NVC","$921,509",$0.394523,"$1,093",Novacoin
68,-7.36%,"8,381,510,000 PIB *","$920,951",$0.000110,"$70,682",PIBBLE
69,3.11%,"6,133,358 KICKS *","$919,791",$0.149965,"$4,139,368",Sessia
70,205.35%,"198,963,244 GOLOS","$904,218",$0.004545,$362,Golos
71,-1.12%,"341,414,782 STK *","$900,392",$0.002637,"$13,610",STK
72,-27.64%,"811,355,827 TAC *","$897,596",$0.001106,"$7,277",Traceability Chain
73,52.33%,"27,088,352 EXY *","$895,256",$0.033049,"$337,467",Experty
74,-1.67%,"18,805,100 EXP","$892,147",$0.047442,"$5,221",Expanse
75,38.90%,"4,785,761 BTCP","$885,077",$0.184940,"$4,551",Bitcoin Private
76,-4.43%,"889,382,388 RTE *","$883,298",$0.000993,"$154,841",Rate3
77,0.00%,"8,994,021,185 TOA","$882,617",$0.000098,$?,ToaCoin
78,-1.29%,"1,057,741,422 OPEN *","$872,460",$0.000825,"$2,241",Open Platform
79,-3.95%,"11,000,000,000 OWN *","$871,409",$0.000079,"$37,647",OWNDATA
80,6.88%,"3,005,855,396 SHA *","$871,385",$0.000290,"$10,117",Safe Haven
81,-0.21%,"892,799,357 PCH *","$871,024",$0.000976,$?,POPCHAIN
82,-6.11%,"12,863,911,326 HSC *","$869,593",$0.000068,"$3,111",HashCoin
83,-6.21%,"106,123,770,169 QWC *","$868,185",$0.000008,$540,Qwertycoin
84,-9.79%,"22,935,396 TRC","$864,651",$0.037699,$74,Terracoin
85,-3.62%,"57,349,221 SLR *","$862,119",$0.015033,$434,SolarCoin
86,0.00%,"217,789,857 LEDU *","$859,083",$0.003945,$?,Education Ecosystem
87,-1.60%,"76,585,117 MGD *","$856,997",$0.011190,$13,MassGrid
88,-2.36%,"2,983,060,695 KICK *","$854,168",$0.000286,"$324,244",KickToken
89,-2.90%,"207,051,787 BC *","$846,932",$0.004090,$0.028633,Block-Chain.com
90,-8.24%,"2,443,100 CSPN","$846,498",$0.346485,"$1,164",Crypto Sports
91,3.38%,"8,200,612,015 PTT *","$843,931",$0.000103,"$242,776",Proton Token
92,-3.34%,42 42,"$841,579","$20,037.61",$203,42-coin
93,-4.99%,"710,113 TIME *","$832,231",$1.17,"$45,073",Chronobank
94,0.77%,"7,038,765 OURO *","$828,876",$0.117759,"$16,383",Ouroboros
95,11.35%,"897,595,848 TTN","$826,101",$0.000920,"$7,677",Titan Coin
96,-4.53%,"166,030,078 PTI *","$822,869",$0.004956,"$56,055",Paytomat
97,-0.84%,"99,996,877 MGO *","$820,892",$0.008209,"$1,315,021",MobileGo
98,-3.08%,"988,819,491 ZUM","$812,238",$0.000821,$39,ZumCoin
99,-9.94%,"500,000,000 RMT *","$812,155",$0.001624,$?,SureRemit
