,1.Name,2.Market Cap,3.Price,4.Volume(24h),5.Circulating Supply,6.Change
50,Global Currency Reserve,"$1,049,701",$0.009817,"$23,385","106,926,307 GCR *",-23.24%
51,TokenPay,"$1,048,154",$0.062806,"$105,366","16,688,845 TPAY *",-1.80%
52,Cappasity,"$1,040,945",$0.001931,"$98,557","539,151,696 CAPP *",-1.96%
53,EchoLink,"$1,032,528",$0.002065,"$55,282","500,000,000 EKO *",-5.36%
54,HBZ coin,"$1,027,821",$0.001050,"$37,465","978,845,690 HBZ *",-11.78%
55,0xBitcoin,"$1,023,217",$0.178368,"$1,367,883","5,736,550 0xBTC",-3.92%
56,LUXCoin,"$1,022,467",$0.131497,"$15,968","7,775,590 LUX",5.86%
57,Apex,"$1,012,984",$0.001988,"$61,984","509,644,876 CPX *",-5.79%
58,Locus Chain,"$985,522",$0.001174,$?,"839,289,411 LOCUS *",0.00%
59,IG Gold,"$968,885",$0.000109,"$3,756","8,856,541,707 IGG *",-15.61%
60,FLIP,"$949,035",$0.016961,$324,"55,955,000 FLP *",10.49%
61,CYBR Token,"$938,733",$0.025093,$319,"37,410,463 CYBR *",13.46%
62,FansTime,"$936,841",$0.000329,"$424,329","2,850,000,000 FTI *",-5.79%
63,Curecoin,"$932,946",$0.038198,"$2,047","24,423,628 CURE",-0.93%
64,Friendz,"$931,688",$0.001785,"$86,050","522,087,913 FDZ *",-10.94%
65,Mcashchain,"$924,259",$0.006163,"$9,940","149,978,811 MCASH",-0.11%
66,CEEK VR,"$922,022",$0.001795,"$1,004","513,653,460 CEEK *",14.34%
67,Novacoin,"$921,509",$0.394523,"$1,093","2,335,757 NVC",10.28%
68,PIBBLE,"$920,951",$0.000110,"$70,682","8,381,510,000 PIB *",-7.36%
69,Sessia,"$919,791",$0.149965,"$4,139,368","6,133,358 KICKS *",3.11%
70,Golos,"$904,218",$0.004545,$362,"198,963,244 GOLOS",205.35%
71,STK,"$900,392",$0.002637,"$13,610","341,414,782 STK *",-1.12%
72,Traceability Chain,"$897,596",$0.001106,"$7,277","811,355,827 TAC *",-27.64%
73,Experty,"$895,256",$0.033049,"$337,467","27,088,352 EXY *",52.33%
74,Expanse,"$892,147",$0.047442,"$5,221","18,805,100 EXP",-1.67%
75,Bitcoin Private,"$885,077",$0.184940,"$4,551","4,785,761 BTCP",38.90%
76,Rate3,"$883,298",$0.000993,"$154,841","889,382,388 RTE *",-4.43%
77,ToaCoin,"$882,617",$0.000098,$?,"8,994,021,185 TOA",0.00%
78,Open Platform,"$872,460",$0.000825,"$2,241","1,057,741,422 OPEN *",-1.29%
79,OWNDATA,"$871,409",$0.000079,"$37,647","11,000,000,000 OWN *",-3.95%
80,Safe Haven,"$871,385",$0.000290,"$10,117","3,005,855,396 SHA *",6.88%
81,POPCHAIN,"$871,024",$0.000976,$?,"892,799,357 PCH *",-0.21%
82,HashCoin,"$869,593",$0.000068,"$3,111","12,863,911,326 HSC *",-6.11%
83,Qwertycoin,"$868,185",$0.000008,$540,"106,123,770,169 QWC *",-6.21%
84,Terracoin,"$864,651",$0.037699,$74,"22,935,396 TRC",-9.79%
85,SolarCoin,"$862,119",$0.015033,$434,"57,349,221 SLR *",-3.62%
86,Education Ecosystem,"$859,083",$0.003945,$?,"217,789,857 LEDU *",0.00%
87,MassGrid,"$856,997",$0.011190,$13,"76,585,117 MGD *",-1.60%
88,KickToken,"$854,168",$0.000286,"$324,244","2,983,060,695 KICK *",-2.36%
89,Block-Chain.com,"$846,932",$0.004090,$0.028633,"207,051,787 BC *",-2.90%
90,Crypto Sports,"$846,498",$0.346485,"$1,164","2,443,100 CSPN",-8.24%
91,Proton Token,"$843,931",$0.000103,"$242,776","8,200,612,015 PTT *",3.38%
92,42-coin,"$841,579","$20,037.61",$203,42 42,-3.34%
93,Chronobank,"$832,231",$1.17,"$45,073","710,113 TIME *",-4.99%
94,Ouroboros,"$828,876",$0.117759,"$16,383","7,038,765 OURO *",0.77%
95,Titan Coin,"$826,101",$0.000920,"$7,677","897,595,848 TTN",11.35%
96,Paytomat,"$822,869",$0.004956,"$56,055","166,030,078 PTI *",-4.53%
97,MobileGo,"$820,892",$0.008209,"$1,315,021","99,996,877 MGO *",-0.84%
98,ZumCoin,"$812,238",$0.000821,$39,"988,819,491 ZUM",-3.08%
99,SureRemit,"$812,155",$0.001624,$?,"500,000,000 RMT *",-9.94%
