name,max_supply,href
token-pocket,NIF,https://www.coingecko.com/en/coins/token-pocket/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
klondike-finance-v2,452596.0,https://www.coingecko.com/en/coins/klondike-finance-v2/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
electrum-dark,NIF,https://www.coingecko.com/en/coins/electrum-dark/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
bishares,NIF,https://www.coingecko.com/en/coins/bishares/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
crystal-token,NIF,https://www.coingecko.com/en/coins/crystal-token/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
covesting,NIF,https://www.coingecko.com/en/coins/covesting/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
ultralpha,NIF,https://www.coingecko.com/en/coins/ultralpha/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
radicle,100000000.0,https://www.coingecko.com/en/coins/radicle/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
aleph-im,500000000.0,https://www.coingecko.com/en/coins/aleph-im/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
pac-protocol,NIF,https://www.coingecko.com/en/coins/pac-protocol/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
ocean-protocol,NIF,https://www.coingecko.com/en/coins/ocean-protocol/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
mirrored-gamestop,NIF,https://www.coingecko.com/en/coins/mirrored-gamestop/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
yuan-chain-coin,NIF,https://www.coingecko.com/en/coins/yuan-chain-coin/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
mcashchain,NIF,https://www.coingecko.com/en/coins/mcashchain/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
aezora,NIF,https://www.coingecko.com/en/coins/aezora/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
babyswap,NIF,https://www.coingecko.com/en/coins/babyswap/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
omnitude,NIF,https://www.coingecko.com/en/coins/omnitude/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
sentinel-chain,NIF,https://www.coingecko.com/en/coins/sentinel-chain/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
axion,NIF,https://www.coingecko.com/en/coins/axion/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
aragon,NIF,https://www.coingecko.com/en/coins/aragon/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
dafi-protocol,NIF,https://www.coingecko.com/en/coins/dafi-protocol/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
disbalancer,10000000.0,https://www.coingecko.com/en/coins/disbalancer/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
spookyswap,13666000.0,https://www.coingecko.com/en/coins/spookyswap/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
sideshift-token,NIF,https://www.coingecko.com/en/coins/sideshift-token/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
parallel,NIF,https://www.coingecko.com/en/coins/parallel/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
poet,NIF,https://www.coingecko.com/en/coins/poet/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
trade-butler-bot,NIF,https://www.coingecko.com/en/coins/trade-butler-bot/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
ieth,477.0,https://www.coingecko.com/en/coins/ieth/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
bobs-repair,NIF,https://www.coingecko.com/en/coins/bobs-repair/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
strong,528886.0,https://www.coingecko.com/en/coins/strong/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
deri-protocol,443132435.0,https://www.coingecko.com/en/coins/deri-protocol/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
rarible,25000000.0,https://www.coingecko.com/en/coins/rarible/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
lotto,NIF,https://www.coingecko.com/en/coins/lotto/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
cover-protocol,70200.0,https://www.coingecko.com/en/coins/cover-protocol/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
blockbank,NIF,https://www.coingecko.com/en/coins/blockbank/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
finxflo,NIF,https://www.coingecko.com/en/coins/finxflo/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
miss-doge,NIF,https://www.coingecko.com/en/coins/miss-doge/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
defi-wizard,1000000.0,https://www.coingecko.com/en/coins/defi-wizard/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
nft-stars,NIF,https://www.coingecko.com/en/coins/nft-stars/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
block-logic,NIF,https://www.coingecko.com/en/coins/block-logic/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
humaniq,NIF,https://www.coingecko.com/en/coins/humaniq/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
solana,488630611.0,https://www.coingecko.com/en/coins/solana/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
portion,1500000000.0,https://www.coingecko.com/en/coins/portion/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
alex,10000000.0,https://www.coingecko.com/en/coins/alex/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
karma-dao,10000000.0,https://www.coingecko.com/en/coins/karma-dao/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
curve-dao-token,3303030299.0,https://www.coingecko.com/en/coins/curve-dao-token/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
pepecash,NIF,https://www.coingecko.com/en/coins/pepecash/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
serey-coin,NIF,https://www.coingecko.com/en/coins/serey-coin/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
hollygold,NIF,https://www.coingecko.com/en/coins/hollygold/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
digital-money-bits,NIF,https://www.coingecko.com/en/coins/digital-money-bits/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
shiba-inu,NIF,https://www.coingecko.com/en/coins/shiba-inu/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
moontools,50000.0,https://www.coingecko.com/en/coins/moontools/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
cudos,10000000000.0,https://www.coingecko.com/en/coins/cudos/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
thundercore,NIF,https://www.coingecko.com/en/coins/thundercore/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
scanetchain,NIF,https://www.coingecko.com/en/coins/scanetchain/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
jigstack,NIF,https://www.coingecko.com/en/coins/jigstack/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
the-doge-nft,16969696969.0,https://www.coingecko.com/en/coins/the-doge-nft/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
hodlcoin,NIF,https://www.coingecko.com/en/coins/hodlcoin/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
ziot,NIF,https://www.coingecko.com/en/coins/ziot/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
fedoracoin,NIF,https://www.coingecko.com/en/coins/fedoracoin/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
mover,NIF,https://www.coingecko.com/en/coins/mover/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
