,1.Video Name,2.Streamer,3.Release Time,4.View Times,5.Link
84,【真人炉石】砰砰博士-最梦幻橙卡发布!,神奇的老皮,2018-07-31,337.9万,//www.bilibili.com/video/av28149415?from=search
85,【2KOL2】S6抢先看：J博士，坎普，韦伯，刺客，普莱斯，蒙克利夫,树懒树不懒,2020-01-26,1.1万,//www.bilibili.com/video/av85126816?from=search
86,【明日方舟】听说给这个视频点赞的博士年、阿、吽同时出,CL齿轮,2020-01-17,7.2万,//www.bilibili.com/video/av83748629?from=search
87,【明日方舟】99%的博士都不知道明日方舟内测时体验有多差！,我要被迫害了,2020-01-05,19.1万,//www.bilibili.com/video/av82129308?from=search
88,你永远也想不到一个理智0的博士在无聊时能干出什么事来,喵喵喵喵喵理沙,2019-08-04,76.8万,//www.bilibili.com/video/av62110623?from=search
89,【明日方舟】隐藏地图0-0，精二大军被打哭，博士已经自闭！,南条鸡腿子,2019-07-06,42.3万,//www.bilibili.com/video/av57994904?from=search
90,【熟肉】日本美声绝叫女博士Tamo姐姐上下求羊而不得的刷初始配信 上篇 明日方舟 日服,汤浅尚子,2020-01-23,3.7万,//www.bilibili.com/video/av84609523?from=search
91,医学博士：晚睡晚起到底行不行？ I 晚睡晚起是熬夜吗？ I 请问今天按时晚睡了么？,兔叭咯,2020-01-17,177.8万,//www.bilibili.com/video/av83612600?from=search
92,【小狼XF】霜星干员测评/博士我来达成约定了《明日方舟》局部坏死,小狼XF,2019-12-28,23.9万,//www.bilibili.com/video/av81028789?from=search
93,【明日方舟】（互动视频）凯尔希：博士，准备复婚（part.2）ver：3.0,葡萄羊bu吃葡萄,2019-11-22,6.4万,//www.bilibili.com/video/av76608735?from=search
94,《明日方舟》即将关服，博士和干员放飞自我,南条鸡腿子,2019-09-28,33.5万,//www.bilibili.com/video/av69208576?from=search
95,谢耳朵被女博士亲亲了，吓得飞奔Amy处求婚……,美剧学英语y,2019-07-18,9.8万,//www.bilibili.com/video/av59664836?from=search
96,【明日方Jo/假面博士】我想起来啦！阿米驴！henshin！,拔旗,2019-06-23,30.5万,//www.bilibili.com/video/av56552369?from=search
97,【明日方舟】罗德岛的拜年祭！祝各位博士新年大吉！,halo老师,2020-01-25,8847,//www.bilibili.com/video/av84931145?from=search
98,〖Ivy〗VLOG#66丨北大博士一周生活预览丨其实很多事情都有意义，就看你能不能坚持,Mockingbird_ivy,2019-11-16,8381,//www.bilibili.com/video/av75800410?from=search
99,【X博士奇谈】王者荣耀都被它吊打？腾讯曾经最强MOBA为何凉凉,游戏X博士,2019-08-24,19.9万,//www.bilibili.com/video/av65118924?from=search
100,【明日方舟】无精一碾压龙门市区400杀，平民博士的快乐就是这样朴实无华,玖帕斯,2019-07-22,47.7万,//www.bilibili.com/video/av60212239?from=search
101,【PVZ】当博士的子民背叛的时候，他还能拯救戴夫吗,筱之凌上,2017-10-27,61.0万,//www.bilibili.com/video/av15774188?from=search
102,美女博士在陈道明面前摆弄物理知识， 被呛：你行你上啊,娱乐猫搞笑狗,2016-11-18,99.3万,//www.bilibili.com/video/av7150694?from=search
103,砰砰博士也不外如是,战神徽章,2020-01-24,3.2万,//www.bilibili.com/video/av84791038?from=search
104,【明日方舟】在明日方舟世界里成为了博士【白上吹雪】1月17日直播录播,源桜_Official,2020-01-24,3.3万,//www.bilibili.com/video/av84751367?from=search
105,【TBBT】女博士的千层套路，控得死死的！,报告学姐,2020-01-18,7.2万,//www.bilibili.com/video/av84013041?from=search
106,【明日方舟】博士亲自上战场，区区源石虫你能秒我？,南条鸡腿子,2019-10-02,68.2万,//www.bilibili.com/video/av69707864?from=search
107,【生物不用背？】清华博士帮你破解生物学习迷思,张云翼_channel,2019-08-19,8.0万,//www.bilibili.com/video/av64351584?from=search
108,【RCVOx灯泡】论屑博士失败理由与行为艺术修养,RCVO粤语配音组,2019-08-09,53.3万,//www.bilibili.com/video/av62819104?from=search
109,巡林者娘化？博士没想到你居然好这口！,原田虫虫合_halada,2019-08-04,14.6万,//www.bilibili.com/video/av62105883?from=search
110,据说点赞的博士都出了年,屏幕另一边的迷云,2020-01-16,16.0万,//www.bilibili.com/video/av83679346?from=search
