,Name,Adj.Vol(24h),Volume(24h),Volume(7d),Volume(30d),No.Markets,Change(24h)
118,VCC Exchange,"$13,124,604","$13,124,604","$128,347,583","$376,141,332",209,-39.67%
119,OKCoin,"$12,824,248","$12,824,248","$125,275,307","$398,042,902",22,-47.91%
120,BTSE,"$12,102,552","$204,365,669","$1,283,080,956","$6,651,486,522",10,25.83%
121,Gemini,"$11,558,698","$11,558,698","$200,370,254","$672,595,112",15,-65.38%
122,GDAC,"$10,896,985","$10,896,985","$61,879,106","$191,454,259",26,10.54%
123,BTCBOX,"$10,640,358","$10,640,358","$59,137,804","$237,001,257",1,13.87%
124,Binance US,"$10,572,400","$10,572,400","$114,232,279","$369,302,102",54,-30.61%
125,FEX,"$8,539,121","$8,539,121","$41,533,272","$179,900,386",26,6.87%
126,LakeBTC,"$8,502,086","$8,502,086","$80,944,410","$275,357,238",12,-39.71%
127,Alterdice,"$8,462,875","$8,462,875","$71,833,607","$286,448,577",94,-28.20%
128,Vebitcoin,"$7,993,018","$7,993,018","$71,951,848","$241,883,903",28,-29.65%
129,Bitsonic,"$7,796,251","$7,796,251","$58,360,810","$2,227,373,669",36,-24.98%
130,Bitso,"$7,737,184","$7,737,184","$81,231,132","$288,093,464",18,-38.67%
131,Uniswap,"$7,733,153","$7,733,153","$49,533,808","$156,290,800",53,-3.26%
132,CITEX,"$7,683,770","$7,683,770","$113,014,560","$225,442,323",143,-5.33%
133,GOPAX,"$6,730,668","$6,730,668","$73,769,954","$235,451,352",79,-38.07%
134,Cryptology,"$6,498,475","$6,498,475","$41,921,493","$194,519,646",14,9.26%
135,Bitvavo,"$6,215,313","$6,215,313","$74,327,273","$210,286,840",61,-29.68%
136,Bitsdaq,"$6,062,008","$6,062,008","$71,651,708","$144,485,068",60,-37.71%
137,B2BX,"$5,859,369","$5,859,369","$108,297,926","$388,234,993",21,-79.12%
138,CoinHe,"$5,847,187","$5,847,187","$43,668,428","$156,352,027",23,-30.09%
139,Hanbitco,"$5,599,393","$5,599,393","$40,611,598","$210,573,383",37,-6.02%
140,NovaDAX,"$5,423,801","$5,423,801","$56,017,801","$211,713,042",66,-26.16%
141,Liquid,"$4,742,680","$145,066,173","$1,347,005,667","$3,933,206,034",121,-34.32%
142,Currency.com,"$4,537,059","$4,537,059","$38,525,632","$220,773,571",18,-0.89%
143,Bitpanda Pro,"$4,360,772","$4,360,772","$52,408,388","$128,981,405",9,-41.22%
144,Indodax,"$3,831,169","$3,831,169","$50,481,288","$184,451,318",74,-45.95%
